index,falha
10083,peca1
30737,peca1
16988,peca1
4099,peca1
8249,peca1
1501,peca1
4212,peca1
1159,peca1
8408,peca1
12598,peca1
23510,peca1
23179,peca1
22062,peca1
18431,peca1
18944,peca1
18596,peca1
34184,peca1
11775,peca1
33688,peca1
32622,peca1
11987,peca1
13190,peca1
19685,peca1
13050,peca1
25467,peca1
26718,peca1
27511,peca1
9348,peca1
26087,peca1
11827,peca1
570,peca1
8617,peca1
357,peca1
23450,peca1
12302,peca1
26520,peca1
20193,peca1
20797,peca1
22626,peca1
1051,peca1
32541,peca1
30735,peca1
8589,peca1
20150,peca1
8629,peca1
32519,peca1
32219,peca1
34649,peca1
23210,peca1
27650,peca1
28871,peca1
22317,peca1
6981,peca1
15895,peca1
29226,peca1
28157,peca1
19028,peca1
20140,peca1
34181,peca1
26059,peca1
26023,peca1
20906,peca1
21008,peca1
2040,peca1
21071,peca1
28977,peca1
16053,peca1
13033,peca1
14834,peca1
15916,peca1
27220,peca1
20963,peca1
29438,peca1
29638,peca1
5891,peca1
15152,peca1
13738,peca1
15806,peca1
36369,peca1
7534,peca1
35340,peca1
22033,peca1
13265,peca1
12232,peca1
35245,peca1
34942,peca1
24222,peca1
9914,peca1
4198,peca1
23558,peca1
10687,peca1
34608,peca1
19895,peca1
28246,peca1
29517,peca1
20102,peca1
31742,peca1
9159,peca1
4693,peca1
13483,peca1
32919,peca1
11665,peca1
3288,peca1
1543,peca1
10701,peca1
29011,peca1
12524,peca1
34502,peca1
28700,peca1
34002,peca1
23116,peca1
26069,peca1
13778,peca1
4843,peca1
19647,peca1
34326,peca1
544,peca1
29194,peca1
2961,peca1
28574,peca1
5628,peca1
36247,peca1
31389,peca1
12500,peca1
9111,peca1
10302,peca1
20640,peca1
28662,peca1
4241,peca1
3679,peca1
6204,peca1
32750,peca1
30247,peca1
27811,peca1
32957,peca1
9661,peca1
1513,peca1
8563,peca1
22226,peca1
3700,peca1
2614,peca1
27892,peca1
25265,peca1
4690,peca1
30458,peca1
23695,peca1
923,peca1
30231,peca1
9961,peca1
1404,peca1
22905,peca1
15698,peca1
16197,peca1
30415,peca1
5287,peca1
23602,peca1
6111,peca1
2249,peca1
33557,peca1
11565,peca1
23688,peca1
11064,peca1
27247,peca1
6489,peca1
7978,peca1
2348,peca1
10681,peca1
17204,peca1
25629,peca1
9991,peca1
17256,peca1
21281,peca1
2322,peca1
5082,peca1
18108,peca1
7294,peca1
1196,peca1
15252,peca1
32445,peca1
33452,peca1
31114,peca1
29510,peca1
13551,peca1
35220,peca1
26261,peca1
29214,peca1
13340,peca1
13385,peca1
7420,peca1
11690,peca1
31370,peca1
7877,peca1
31261,peca1
28068,peca1
2208,peca1
12411,peca1
10842,peca1
23300,peca1
9225,peca1
31169,peca1
23637,peca1
21385,peca1
2498,peca1
33130,peca1
8121,peca1
16907,peca1
33874,peca1
18234,peca1
6642,peca1
26311,peca1
2092,peca1
25862,peca1
29472,peca1
14879,peca1
17070,peca1
11533,peca1
10514,peca1
6906,peca1
11624,peca1
35605,peca1
19145,peca1
26735,peca1
21414,peca1
14562,peca1
2420,peca1
1568,peca1
32763,peca1
13285,peca1
19858,peca1
25624,peca1
27781,peca1
2193,peca1
36184,peca1
22073,peca1
19204,peca1
33732,peca1
32250,peca1
15691,peca1
19545,peca1
31072,peca1
16798,peca1
32342,peca1
18097,peca1
35524,peca1
7808,peca1
29199,peca1
21639,peca1
16950,peca1
29250,peca1
23724,peca1
10114,peca1
8876,peca1
3209,peca1
14698,peca1
14259,peca1
33909,peca1
1561,peca1
13369,peca1
31785,peca1
20086,peca1
17462,peca1
24400,peca1
30699,peca1
2027,peca1
11957,peca1
690,peca1
26372,peca1
27325,peca1
31798,peca1
35392,peca1
33753,peca1
16543,peca1
780,peca1
12438,peca1
23327,peca1
13538,peca1
7393,peca1
34771,peca1
27203,peca1
30506,peca1
24669,peca1
11575,peca1
10977,peca1
3241,peca1
29814,peca1
19123,peca1
13836,peca1
22716,peca1
11102,peca1
19281,peca1
13530,peca1
6034,peca1
13967,peca1
18390,peca1
26693,peca1
12398,peca1
10443,peca1
9614,peca1
21376,peca1
12037,peca1
3355,peca1
5031,peca1
19566,peca1
5410,peca1
4596,peca1
10488,peca1
20320,peca1
28392,peca1
19989,peca1
1857,peca1
8933,peca1
26004,peca1
30374,peca1
10233,peca1
1292,peca1
36093,peca1
32954,peca1
19194,peca1
276,peca1
34875,peca1
10815,peca1
2016,peca1
26876,peca1
19273,peca1
8018,peca1
30432,peca1
17069,peca1
34763,peca1
14314,peca1
19605,peca1
6331,peca1
3878,peca1
556,peca1
31096,peca1
32830,peca1
31566,peca1
4410,peca1
29430,peca1
33203,peca1
24785,peca1
24613,peca1
4438,peca1
9712,peca1
15205,peca1
9718,peca1
5773,peca1
17735,peca1
32702,peca1
12982,peca1
13952,peca1
28072,peca1
27193,peca1
11370,peca1
28058,peca1
11581,peca1
4743,peca1
16012,peca1
17642,peca1
17918,peca1
19269,peca1
19981,peca1
13425,peca1
34271,peca1
22391,peca1
27923,peca1
29737,peca1
15816,peca1
4781,peca1
28751,peca1
5120,peca1
23048,peca1
35253,peca1
11167,peca1
36455,peca1
1716,peca1
16814,peca1
19429,peca1
28614,peca1
12897,peca1
16488,peca1
28643,peca1
4309,peca1
30404,peca1
34343,peca1
18952,peca1
13960,peca1
5694,peca1
34826,peca1
26042,peca1
19389,peca1
35214,peca1
18289,peca1
29821,peca1
31589,peca1
13895,peca1
4202,peca1
8433,peca1
15006,peca1
30588,peca1
1173,peca1
8510,peca1
18583,peca1
34129,peca1
7609,peca1
30047,peca1
4754,peca1
11633,peca1
34455,peca1
20028,peca1
29839,peca1
7687,peca1
32079,peca1
3292,peca1
18076,peca1
9811,peca1
29294,peca1
14952,peca1
6028,peca1
12295,peca1
35307,peca1
2735,peca1
25524,peca1
30391,peca1
3688,peca1
11577,peca1
27754,peca1
30660,peca1
10168,peca1
35920,peca1
26925,peca1
15147,peca1
15694,peca1
36033,peca1
16573,peca1
35898,peca1
22027,peca1
30716,peca1
17620,peca1
31193,peca1
3581,peca1
28485,peca1
3696,peca1
14741,peca1
31432,peca1
23399,peca1
801,peca1
16872,peca1
14843,peca1
34851,peca1
11322,peca1
3613,peca1
17455,peca1
10908,peca1
6960,peca1
20419,peca1
30345,peca1
5619,peca1
16987,peca1
7282,peca1
1063,peca1
14415,peca1
10421,peca1
32067,peca1
7035,peca1
10556,peca1
25505,peca1
30179,peca1
34680,peca1
18591,peca1
20116,peca1
16583,peca1
16741,peca1
16761,peca1
4091,peca1
32459,peca1
19675,peca1
23006,peca1
28729,peca1
20943,peca1
32951,peca1
11518,peca1
16001,peca1
5950,peca1
36469,peca1
7180,peca1
9401,peca1
19724,peca1
25807,peca1
31490,peca1
14075,peca1
14032,peca1
4673,peca1
26555,peca1
31616,peca1
17399,peca1
6013,peca1
18640,peca1
12363,peca1
30475,peca1
4368,peca1
20336,peca1
3445,peca1
18121,peca1
21464,peca1
32386,peca1
379,peca1
25118,peca1
34433,peca1
7775,peca1
25553,peca1
7473,peca1
9998,peca1
30400,peca1
28527,peca1
3996,peca1
10748,peca1
34118,peca1
23940,peca1
11232,peca1
13250,peca1
22889,peca1
22076,peca1
14700,peca1
21416,peca1
31582,peca1
6252,peca1
22462,peca1
31625,peca1
19014,peca1
5211,peca1
2996,peca1
16307,peca1
5711,peca1
20663,peca1
25382,peca1
16852,peca1
5536,peca1
10975,peca1
151,peca1
16517,peca1
29332,peca1
4138,peca1
19219,peca1
10754,peca1
33507,peca1
6917,peca1
15556,peca1
11903,peca1
7312,peca1
21978,peca1
14301,peca1
19244,peca1
4122,peca1
12763,peca1
14697,peca1
18926,peca1
33206,peca1
27780,peca1
4939,peca1
33696,peca1
25338,peca1
32909,peca1
9979,peca1
11319,peca1
15228,peca1
17645,peca1
35409,peca1
12584,peca1
17943,peca1
18013,peca1
21604,peca1
27269,peca1
16260,peca1
10173,peca1
9502,peca1
36397,peca1
19327,peca1
31955,peca1
36560,peca1
30317,peca1
34795,peca1
24189,peca1
16864,peca1
13681,peca1
25225,peca1
2015,peca1
1622,peca1
14202,peca1
17627,peca1
11537,peca1
15848,peca1
21245,peca1
10998,peca1
33561,peca1
34736,peca1
15647,peca1
5644,peca1
29084,peca1
15527,peca1
17346,peca1
25805,peca1
35125,peca1
19285,peca1
24652,peca1
31201,peca1
29309,peca1
28323,peca1
13792,peca1
29678,peca1
11399,peca1
35862,peca1
27817,peca1
29882,peca1
19760,peca1
29917,peca1
4599,peca1
10881,peca1
13724,peca1
24909,peca1
13645,peca1
2316,peca1
32172,peca1
10219,peca1
791,peca1
11919,peca1
5083,peca1
30340,peca1
4123,peca1
30527,peca1
12487,peca1
3194,peca1
34824,peca1
20179,peca1
9761,peca1
24542,peca1
9188,peca1
4329,peca1
36106,peca1
21597,peca1
33278,peca1
18739,peca1
26864,peca1
1203,peca1
18982,peca1
1852,peca1
7930,peca1
13272,peca1
17885,peca1
24002,peca1
17241,peca1
35837,peca1
15928,peca1
3788,peca1
29881,peca1
31424,peca1
7784,peca1
11956,peca1
28373,peca1
13197,peca1
997,peca1
4200,peca1
912,peca1
23279,peca1
34029,peca1
23410,peca1
32007,peca1
