index,maquina,data
10083,28,2015-07-03
30737,84,2015-11-21
16988,47,2015-05-09
4099,12,2015-03-11
8249,23,2015-07-01
1501,5,2015-02-06
4212,12,2015-07-02
1159,4,2015-03-02
8408,23,2015-12-07
12598,35,2015-05-13
23510,65,2015-02-27
23179,64,2015-04-03
22062,61,2015-03-16
18431,51,2015-04-17
18944,52,2015-09-10
18596,51,2015-09-29
34184,94,2015-04-18
11775,33,2015-02-11
33688,92,2015-12-10
32622,90,2015-01-12
11987,33,2015-09-11
13190,36,2015-12-24
19685,54,2015-09-18
13050,36,2015-08-06
25467,70,2015-07-02
26718,73,2015-11-30
27511,76,2015-01-29
9348,26,2015-06-30
26087,72,2015-03-11
11827,33,2015-04-04
570,2,2015-07-23
8617,24,2015-07-03
357,1,2015-12-24
23450,64,2015-12-30
12302,34,2015-07-22
26520,73,2015-05-16
20193,56,2015-02-06
20797,57,2015-10-01
22626,62,2015-09-30
1051,3,2015-11-15
32541,89,2015-10-24
30735,84,2015-11-19
8589,24,2015-06-05
20150,55,2015-12-26
8629,24,2015-07-15
32519,89,2015-10-02
32219,88,2015-12-07
34649,95,2015-07-25
23210,64,2015-05-04
27650,76,2015-06-17
28871,79,2015-10-18
22317,61,2015-11-26
6981,20,2015-01-15
15895,44,2015-05-14
29226,80,2015-10-07
28157,77,2015-11-05
19028,52,2015-12-02
20140,55,2015-12-16
34181,94,2015-04-15
26059,72,2015-02-11
26023,72,2015-01-06
20906,58,2015-01-17
21008,58,2015-04-29
2040,6,2015-07-29
21071,58,2015-07-01
28977,80,2015-01-31
16053,44,2015-10-19
13033,36,2015-07-20
14834,41,2015-06-20
15916,44,2015-06-04
27220,75,2015-04-14
20963,58,2015-03-15
29438,81,2015-05-06
29638,81,2015-11-22
5891,17,2015-01-25
15152,42,2015-05-03
13738,38,2015-06-23
15806,44,2015-02-14
36369,100,2015-04-03
7534,21,2015-07-21
35340,97,2015-06-13
22033,61,2015-02-15
13265,37,2015-03-08
12232,34,2015-05-13
35245,97,2015-03-10
34942,96,2015-05-13
24222,67,2015-02-05
9914,28,2015-01-15
4198,12,2015-06-18
23558,65,2015-04-16
10687,30,2015-02-25
34608,95,2015-06-14
19895,55,2015-04-15
28246,78,2015-02-01
29517,81,2015-07-24
20102,55,2015-11-08
31742,87,2015-08-20
9159,25,2015-12-24
4693,13,2015-10-23
13483,37,2015-10-12
32919,90,2015-11-04
11665,32,2015-10-26
3288,9,2015-12-25
1543,5,2015-03-20
10701,30,2015-03-11
29011,80,2015-03-06
12524,35,2015-02-28
34502,95,2015-02-28
28700,79,2015-04-30
34002,93,2015-10-19
23116,64,2015-01-30
26069,72,2015-02-21
13778,38,2015-08-02
4843,14,2015-03-20
19647,54,2015-08-11
34326,94,2015-09-07
544,2,2015-06-27
29194,80,2015-09-05
2961,9,2015-02-01
28574,78,2015-12-26
5628,16,2015-05-09
36247,99,2015-12-03
31389,86,2015-09-02
12500,35,2015-02-04
9111,25,2015-11-06
10302,29,2015-02-06
20640,57,2015-04-27
28662,79,2015-03-23
4241,12,2015-07-31
3679,11,2015-01-18
6204,17,2015-12-02
32750,90,2015-05-20
30247,83,2015-07-21
27811,76,2015-11-25
32957,90,2015-12-12
9661,27,2015-05-08
1513,5,2015-02-18
8563,24,2015-05-10
22226,61,2015-08-27
3700,11,2015-02-08
2614,8,2015-02-20
27892,77,2015-02-13
25265,69,2015-12-13
4690,13,2015-10-20
30458,84,2015-02-15
23695,65,2015-08-30
923,3,2015-07-10
30231,83,2015-07-06
9961,28,2015-03-03
1404,4,2015-11-02
22905,63,2015-07-04
15698,43,2015-10-30
16197,45,2015-03-11
30415,84,2015-01-03
5287,15,2015-06-05
23602,65,2015-05-30
6111,17,2015-09-01
2249,7,2015-02-21
33557,92,2015-08-01
11565,32,2015-07-18
23688,65,2015-08-23
11064,31,2015-03-07
27247,75,2015-05-11
6489,18,2015-09-12
7978,22,2015-10-04
2348,7,2015-05-31
10681,30,2015-02-19
17204,47,2015-12-11
25629,70,2015-12-11
9991,28,2015-04-02
17256,48,2015-01-31
21281,59,2015-01-26
2322,7,2015-05-05
5082,14,2015-11-14
18108,50,2015-05-30
7294,20,2015-11-24
1196,4,2015-04-08
15252,42,2015-08-11
32445,89,2015-07-20
33452,92,2015-04-19
31114,85,2015-12-02
29510,81,2015-07-17
13551,37,2015-12-19
35220,97,2015-02-13
26261,72,2015-09-01
29214,80,2015-09-25
13340,37,2015-05-22
13385,37,2015-07-06
7420,21,2015-03-29
11690,32,2015-11-20
31370,86,2015-08-14
7877,22,2015-06-25
31261,86,2015-04-27
28068,77,2015-08-08
2208,7,2015-01-12
12411,34,2015-11-08
10842,30,2015-07-30
23300,64,2015-08-02
