index,maquina,data,falha
20012,55,2015-08-10,ok
8002,22,2015-10-28,ok
6190,17,2015-11-18,ok
12536,35,2015-03-12,ok
34478,95,2015-02-04,ok
30723,84,2015-11-07,ok
1194,4,2015-04-06,ok
10714,30,2015-03-24,ok
13815,38,2015-09-08,ok
30079,83,2015-02-04,ok
8566,24,2015-05-13,ok
15247,42,2015-08-06,ok
24225,67,2015-02-08,ok
28996,80,2015-02-19,ok
15288,42,2015-09-16,ok
30927,85,2015-05-29,ok
16730,46,2015-08-25,ok
29553,81,2015-08-29,ok
4388,12,2015-12-25,ok
34873,96,2015-03-05,ok
29646,81,2015-11-30,ok
36631,100,2015-12-21,ok
1387,4,2015-10-16,ok
21220,58,2015-11-27,ok
29589,81,2015-10-04,ok
28364,78,2015-05-30,ok
14337,40,2015-02-09,ok
35393,97,2015-08-05,ok
30769,84,2015-12-23,ok
25715,71,2015-03-05,ok
27416,75,2015-10-27,ok
14225,39,2015-10-21,ok
34408,94,2015-11-27,ok
24284,67,2015-04-08,ok
30697,84,2015-10-12,ok
26810,74,2015-03-01,ok
21607,59,2015-12-18,ok
23642,65,2015-07-09,ok
6357,18,2015-05-03,ok
26291,72,2015-10-01,ok
383,2,2015-01-18,ok
577,2,2015-07-30,ok
28039,77,2015-07-10,ok
11411,32,2015-02-15,ok
9771,27,2015-08-26,ok
15889,44,2015-05-08,ok
19186,53,2015-05-08,ok
16663,46,2015-06-19,ok
17138,47,2015-10-06,ok
4235,12,2015-07-25,ok
1967,6,2015-05-17,ok
29021,80,2015-03-16,ok
9545,27,2015-01-12,ok
8490,24,2015-02-26,ok
1697,5,2015-08-21,ok
7016,20,2015-02-19,ok
34764,95,2015-11-17,ok
2330,7,2015-05-13,ok
22484,62,2015-05-11,ok
31285,86,2015-05-21,ok
17085,47,2015-08-14,ok
4603,13,2015-07-26,ok
11525,32,2015-06-09,ok
20450,56,2015-10-20,ok
5556,16,2015-02-26,ok
32620,90,2015-01-10,ok
19078,53,2015-01-20,ok
18723,52,2015-02-01,ok
23312,64,2015-08-14,ok
19758,54,2015-11-30,ok
36213,99,2015-10-30,comp4
20930,58,2015-02-10,ok
12770,35,2015-10-31,ok
29863,82,2015-07-04,ok
8508,24,2015-03-16,ok
34960,96,2015-05-31,ok
31639,87,2015-05-09,ok
3040,9,2015-04-21,ok
9781,27,2015-09-05,ok
35358,97,2015-07-01,ok
35017,96,2015-07-27,ok
6781,19,2015-06-30,ok
24228,67,2015-02-11,ok
14446,40,2015-05-29,ok
34107,94,2015-01-31,ok
4444,13,2015-02-18,ok
15264,42,2015-08-23,ok
24731,68,2015-06-28,ok
20658,57,2015-05-15,ok
9211,26,2015-02-13,ok
21625,60,2015-01-04,ok
12877,36,2015-02-14,ok
2632,8,2015-03-10,ok
1229,4,2015-05-11,ok
18783,52,2015-04-02,ok
25240,69,2015-11-18,ok
25782,71,2015-05-11,ok
622,2,2015-09-13,ok
17206,47,2015-12-13,ok
27236,75,2015-04-30,ok
27654,76,2015-06-21,ok
8335,23,2015-09-25,ok
15661,43,2015-09-23,ok
14896,41,2015-08-21,ok
2862,8,2015-10-26,ok
35500,97,2015-11-20,comp4
515,2,2015-05-29,ok
30849,85,2015-03-12,ok
23224,64,2015-05-18,ok
33760,93,2015-02-19,ok
16171,45,2015-02-13,ok
23620,65,2015-06-17,ok
21403,59,2015-05-28,ok
8721,24,2015-10-15,ok
27715,76,2015-08-21,ok
20778,57,2015-09-12,ok
11716,32,2015-12-16,ok
3998,11,2015-12-02,ok
7518,21,2015-07-05,ok
4787,14,2015-01-23,ok
29455,81,2015-05-23,ok
7074,20,2015-04-18,ok
17974,50,2015-01-16,ok
18101,50,2015-05-23,ok
24604,68,2015-02-21,ok
6374,18,2015-05-20,ok
966,3,2015-08-22,ok
25044,69,2015-05-06,ok
2827,8,2015-09-21,ok
23050,63,2015-11-26,ok
31537,87,2015-01-27,ok
10209,28,2015-11-06,ok
442,2,2015-03-18,ok
29461,81,2015-05-29,ok
6248,18,2015-01-14,ok
22618,62,2015-09-22,ok
22332,61,2015-12-11,ok
31038,85,2015-09-17,ok
15276,42,2015-09-04,ok
19362,53,2015-10-31,ok
23392,64,2015-11-02,ok
7717,22,2015-01-18,ok
9829,27,2015-10-23,ok
14250,39,2015-11-15,ok
27797,76,2015-11-11,ok
12600,35,2015-05-15,ok
35599,98,2015-02-26,ok
31026,85,2015-09-05,ok
36477,100,2015-07-20,ok
35013,96,2015-07-23,ok
6317,18,2015-03-24,ok
18127,50,2015-06-18,ok
35794,98,2015-09-07,ok
777,3,2015-02-14,ok
5076,14,2015-11-08,ok
22231,61,2015-09-01,ok
19454,54,2015-01-30,ok
13111,36,2015-10-06,ok
11546,32,2015-06-29,ok
28561,78,2015-12-13,ok
17968,50,2015-01-10,ok
29947,82,2015-09-26,ok
15690,43,2015-10-22,ok
11481,32,2015-04-26,ok
29241,80,2015-10-22,ok
4940,14,2015-06-25,ok
7183,20,2015-08-05,ok
1746,5,2015-10-09,ok
28278,78,2015-03-05,ok
30673,84,2015-09-18,ok
26603,73,2015-08-07,ok
22594,62,2015-08-29,ok
384,2,2015-01-19,ok
27965,77,2015-04-27,ok
16223,45,2015-04-06,ok
17625,49,2015-02-03,ok
29978,82,2015-10-27,ok
26294,72,2015-10-04,ok
20165,56,2015-01-09,ok
23507,65,2015-02-24,ok
16362,45,2015-08-23,ok
416,2,2015-02-20,ok
26581,73,2015-07-16,comp1
12993,36,2015-06-10,ok
1255,4,2015-06-06,ok
3466,10,2015-06-20,ok
4111,12,2015-03-23,comp2
15603,43,2015-07-27,ok
13949,39,2015-01-18,ok
9915,28,2015-01-16,ok
34483,95,2015-02-09,ok
10450,29,2015-07-04,ok
12553,35,2015-03-29,ok
268,1,2015-09-26,ok
27347,75,2015-08-19,ok
19641,54,2015-08-05,ok
15871,44,2015-04-20,ok
34884,96,2015-03-16,ok
3612,10,2015-11-13,ok
11621,32,2015-09-12,ok
20942,58,2015-02-22,ok
36277,100,2015-01-01,ok
28353,78,2015-05-19,ok
13910,38,2015-12-12,ok
35018,96,2015-07-28,ok
23571,65,2015-04-29,ok
23222,64,2015-05-16,ok
16971,47,2015-04-22,ok
25527,70,2015-08-31,ok
31856,87,2015-12-12,ok
20,1,2015-01-21,ok
9487,26,2015-11-16,ok
32820,90,2015-07-29,ok
29179,80,2015-08-21,ok
7263,20,2015-10-24,ok
31459,86,2015-11-11,ok
14397,40,2015-04-10,ok
34285,94,2015-07-28,ok
13164,36,2015-11-28,ok
6256,18,2015-01-22,ok
14788,41,2015-05-05,ok
33237,91,2015-09-17,ok
33832,93,2015-05-02,ok
7188,20,2015-08-10,ok
27490,76,2015-01-08,ok
14739,41,2015-03-17,ok
26475,73,2015-04-01,ok
7418,21,2015-03-27,ok
11576,32,2015-07-29,ok
35404,97,2015-08-16,ok
23491,65,2015-02-08,ok
20277,56,2015-05-01,ok
35306,97,2015-05-10,ok
3875,11,2015-08-01,ok
32889,90,2015-10-05,ok
26403,73,2015-01-19,ok
28310,78,2015-04-06,ok
16277,45,2015-05-30,ok
20934,58,2015-02-14,ok
437,2,2015-03-13,ok
22748,63,2015-01-28,comp1
33349,92,2015-01-06,ok
14787,41,2015-05-04,ok
32169,88,2015-10-19,ok
7347,21,2015-01-15,ok
36114,99,2015-07-23,ok
18719,52,2015-01-28,ok
31812,87,2015-10-29,ok
130,1,2015-05-11,ok
31449,86,2015-11-01,ok
3100,9,2015-06-20,ok
2893,8,2015-11-26,ok
23042,63,2015-11-18,ok
